Reaction parameters type,Reaction details,Rack ID,Location_trough,IUPAC,Smiles,MW,density,Equivalent,Volume to add - stocksolution (uL),Volume to add (uL),Volume to take out (uL),Stock concentration (mM),Volume total needed (ml),Number reactants
Reaction name,light,,,,,,,,,,,,,
Reaction scale (mmol),0.07,,,,,,,,,,,,,
Reactant row,Acids,24_rack1,,,,,,1.1,,80,,800,,12
Reactant col,nitriles,24_rack2,,,,,,1,,100,,800,,8
Number reaction,96,,,,,,,,,,,,,
Number rows,8,,,,,,,,,,,,,
Number columns,10,,,,,,,,,,,,,
Screening concentration (mM),300,,,,,,,,,,,,,
Reaction solvent,DMSO,big_trough,A8,dimethylacetamide,,,,,,,,,,
Reagent 1,CsF,24_rack3,A1;A2,,,129.24,0.742,2.5,1000,30.48113208,,,2.92618868,
Reagent 2,Ir catalyst,24_rack3,B1,,,318.18,1.069,1.2,2000,5,,,4800.380767,
Reagent 3,Ligand,24_rack3,A4;A,,,,,,,40,,,,
Solvent QC,MeCN,big_trough,A1,,,,,,,100,20,,,
Aqueous QC,H2O,big_trough,A1,,,,,,,20,,,,
Solvent workup,DCM,big_trough,A3,,,,,,,300,280,,,
Aqueous phase,Sodium bicarbonate,big_trough,A11,,,,,,,300,,,,
Screening solvent,d6-dmso,small_trough,,,,,,,,,,,,
