Rack ID,Location,Name,IUPAC,MW,Mass weighed in,Smiles,Reaction Scale (mmol),Eq,mmol,Conc Stock,Volume to dispense (exp) at 0.8M,Volume to dispense (theory) at 0.8M,Min weight,Exp weight,AC volume per reaction at 0.8M,Barcode rack,Barcode vial
24_rack1,A1,PHIP-UreaNH-01,2-Methoxyethylamine,75.11,45.2,NCCOC,0.06,1.05,0.063,333.3333333,1805.35215,735,108.555972,131.2,91.875,SA00714394,FB00970923
24_rack1,A2,PHIP-UreaNH-01,2-Methoxyethylamine,75.11,49.9,NCCOC,0.06,1.05,0.063,333.3333333,1993.076821,735,108.555972,131.2,91.875,SA00714394,FB00970289
24_rack1,A3,PHIP-UreaNH-01,2-Methoxyethylamine,75.11,41.2,NCCOC,0.06,1.05,0.063,333.3333333,1645.586473,735,108.555972,131.2,91.875,SA00714394,FB00970781
24_rack1,A4,PHIP-UreaNH-02,(Aminomethyl)cyclopropane,71.12,34.8,NCC1CC1,0.06,1.05,0.063,333.3333333,1467.941507,735,108.555972,131.5,91.875,SA00714394,FB00970409
24_rack1,A5,PHIP-UreaNH-02,(Aminomethyl)cyclopropane,71.12,33.3,NCC1CC1,0.06,1.05,0.063,333.3333333,1404.668166,735,108.555972,131.5,91.875,SA00714394,FB00970424
24_rack1,A6,PHIP-UreaNH-02,(Aminomethyl)cyclopropane,71.12,32.9,NCC1CC1,0.06,1.05,0.063,333.3333333,1387.795276,735,108.555972,131.5,91.875,SA00714394,FB00970239
24_rack1,B1,PHIP-UreaNH-03,2-Thiophenemethylamine,113.18,65.8,,0.06,1.05,0.063,333.3333333,1744.124404,735,101.4790411,138.8,91.875,SA00714394,FB00970433
24_rack1,B2,PHIP-UreaNH-03,2-Thiophenemethylamine,113.18,55.2,,0.06,1.05,0.063,333.3333333,1463.156035,735,101.4790411,138.8,91.875,SA00714394,FB00970843
24_rack1,B3,PHIP-UreaNH-03,2-Thiophenemethylamine,113.18,65.4,,0.06,1.05,0.063,333.3333333,1733.521824,735,101.4790411,138.8,91.875,SA00714394,FB00970435
24_rack1,B4,PHIP-UreaNH-04,N-methyl-N-[(5-methyl-2-furyl)methyl]amine,125.17,73,,0.06,1.05,0.063,333.3333333,1749.620516,735,107.396436,127.2,91.875,SA00714394,FB00970411
24_rack1,B5,PHIP-UreaNH-04,N-methyl-N-[(5-methyl-2-furyl)methyl]amine,125.17,65.7,,0.06,1.05,0.063,333.3333333,1574.658464,735,107.396436,127.2,91.875,SA00714394,FB00970900
24_rack1,B6,PHIP-UreaNH-04,N-methyl-N-[(5-methyl-2-furyl)methyl]amine,125.17,59.3,,0.06,1.05,0.063,333.3333333,1421.267077,735,107.396436,127.2,91.875,SA00714394,FB00970404
24_rack1,C1,PHIP-UreaNH-05,3-Amino-5-methylisoxazole,98.1,60.9,,0.06,1.05,0.063,333.3333333,1862.385321,735,111.15258,146,91.875,SA00714394,FB00970917
24_rack1,C2,PHIP-UreaNH-05,3-Amino-5-methylisoxazole,98.1,57.4,,0.06,1.05,0.063,333.3333333,1755.351682,735,111.15258,146,91.875,SA00714394,FB00970783
24_rack1,C3,PHIP-UreaNH-05,3-Amino-5-methylisoxazole,98.1,62.7,,0.06,1.05,0.063,333.3333333,1917.431193,735,111.15258,146,91.875,SA00714394,FB00970899
24_rack1,C4,PHIP-UreaNH-06,Tetrahydrofurfurylamine,101.15,65.6,,0.06,1.05,0.063,333.3333333,1945.625309,735,100.308096,123.9,91.875,SA00714394,FB00970788
24_rack1,C5,PHIP-UreaNH-06,Tetrahydrofurfurylamine,101.15,53.3,,0.06,1.05,0.063,333.3333333,1580.820564,735,100.308096,123.9,91.875,SA00714394,FB00970421
24_rack1,C6,PHIP-UreaNH-06,Tetrahydrofurfurylamine,101.15,52.6,,0.06,1.05,0.063,333.3333333,1560.059318,735,100.308096,123.9,91.875,SA00714394,FB00970824
24_rack1,D1,PHIP-UreaNH-07,Allylamine,57.09,30.7,,0.06,1.05,0.063,333.3333333,1613.242249,735,120.55764,130.8,91.875,SA00714394,FB00970271
24_rack1,D2,PHIP-UreaNH-07,Allylamine,57.09,29.9,,0.06,1.05,0.063,333.3333333,1571.203363,735,120.55764,130.8,91.875,SA00714394,FB00970910
24_rack1,D3,PHIP-UreaNH-07,Allylamine,57.09,33.8,,0.06,1.05,0.063,333.3333333,1776.142932,735,120.55764,130.8,91.875,SA00714394,FB00970136
24_rack1,D4,PHIP-UreaNH-08,Ethanolamine,61.08,34.4,,0.06,1.05,0.063,333.3333333,1689.587426,735,93.23116508,120.9,91.875,SA00714394,FB00970244
24_rack1,D5,PHIP-UreaNH-08,Ethanolamine,61.08,28.7,,0.06,1.05,0.063,333.3333333,1409.626719,735,93.23116508,120.9,91.875,SA00714394,FB00970395
24_rack1,D6,PHIP-UreaNH-08,Ethanolamine,61.08,32.9,,0.06,1.05,0.063,333.3333333,1615.913556,735,93.23116508,120.9,91.875,SA00714394,FB00970902
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
