Rack ID,Location,Name,IUPAC,MW,Mass weighed in,Smiles,Reaction Scale (mmol),Eq,mmol,Conc Stock,Volume to dispense (exp) at 0.5M,volume_per_vial,Barcode rack,Barcode vial
24_rack1,A1,PHIP-CO2H-01,4-Imidazoleacetic acid hydrochloride,162.57,101.6,O=C(O)CC1=CNC=N1,0.12,1.05,0.126,500,1249.92311,252,SA00714427,FB00970396
24_rack1,A2,PHIP-CO2H-02,2?3-Dihydrothieno[3?4-b][1?4]dioxine-5-carboxylic acid,186.181,102.6,O=C(O)C1=C(OCCO2)C2=CS1,0.12,1.05,0.063,500,1102.153281,252,SA00714427,FB00970844
24_rack1,A3,PHIP-CO2H-03,Mandelic acid,152.15,103.8,OC(C(O)=O)C1=CC=CC=C1,0.12,1.05,0.063,500,1364.442984,252,SA00714427,FB00970245
24_rack1,A4,PHIP-CO2H-04,4-Oxazolecarboxylic acid,113.07,71.6,O=C(O)C1=COC=N1,0.12,1.05,0.063,500,1266.472097,252,SA00714427,FB00970691
24_rack1,A5,PHIP-CO2H-05,2?4?6-Trimethylbenzoic acid,164.2,108.6,CC(C=C(C)C=C1C)=C1C(O)=O,0.12,1.05,0.063,500,1322.777101,252,SA00714427,FB00970233
24_rack1,A6,PHIP-CO2H-06,Phenylpropiolic acid,146.14,115.4,O=C(O)C#CC1=CC=CC=C1,0.12,1.05,0.063,500,1579.307513,252,SA00714427,FB00970807
24_rack1,B1,PHIP-CO2H-07,3-(4-Chlorophenyl)propionic acid,184.62,115.8,O=C(CCC1=CC=C(Cl)C=C1)O,0.12,1.05,0.063,500,1254.468638,252,SA00714427,FB00970817
24_rack1,B2,PHIP-CO2H-08,3-Amino-4-methylbenzoic acid,151.16,107.8,O=C(O)C1=CC(N)=C(C)C=C1,0.12,1.05,0.063,500,1426.303255,252,SA00714427,FB00970937
24_rack1,B3,PHIP-CO2H-09,8-Hydroxyquinoline-7-carboxylic Acid,189.17,121,O=C(C1=C(O)C2=C(C=C1)C=CC=N2)O,0.12,1.05,0.063,500,1279.272612,252,SA00714427,FB00970935
24_rack1,B4,PHIP-CO2H-10,1-Methyl-1H-pyrazole-5-carboxylic acid,126.11,73.5,O=C(O)C1=CC=NN1C,0.12,1.05,0.063,500,1165.649037,252,SA00714427,FB00970675
24_rack1,B5,PHIP-CO2H-11,2?6-Dimethoxybenzoic acid,182.17,131.6,O=C(C1=C(OC)C=CC=C1OC)O,0.12,1.05,0.063,500,1444.804304,252,SA00714427,FB00970802
24_rack1,B6,PHIP-CO2H-12,1-Methylimidazole-4-carboxylic acid,126.11,69.8,O=C(C1=CN(C)C=N1)O,0.12,1.05,0.063,500,1106.970105,252,SA00714427,FB00970188
24_rack1,C1,PHIP-CO2H-13,2-CHLOROPYRIDINE-5-ACETIC ACID,171.58,128.9,O=C(CC1=CN=C(Cl)C=C1)O,0.12,1.05,0.063,500,1502.50612,252,SA00714427,FB00970906
24_rack1,C2,PHIP-CO2H-14,2-Picolinic acid,123.11,101.14,O=C(O)C1=NC=CC=C1,0.12,1.05,0.063,500,1643.083421,252,SA00714427,FB00970836
24_rack1,C3,PHIP-CO2H-15,3-Phenylpropionic acid,150.17,136.8,O=C(O)CCC1=CC=CC=C1,0.12,1.05,0.063,500,1821.93514,252,SA00714427,FB00970416
24_rack1,C4,PHIP-CO2H-16,Homovanillic acid,182.17,60.6,O=C(O)CC1=CC(OC)=C(O)C=C1,0.12,1.05,0.063,500,665.3126201,252,SA00714427,FB00970287
