Rack ID,Location,Name,IUPAC,MW,Mass weighed in,Smiles,Reaction Scale (mmol),Eq,mmol,Conc Stock,Volume to dispense (exp) at 0.5M,volume_per_vial,Volume to dispense (theory) at 0.8M,Min weight,Exp weight,AC volume per reaction at 0.8M,Barcode rack,Barcode vial
24_rack1,A1,PHIP-SO2NH-01,2-Methoxyethylamine,75.11,72.3,NCCOC,0.2,1.05,0.21,500,1925.176408,420,735,108.555972,131.2,91.875,SA00714429,FB00970426
24_rack1,A2,PHIP-SO2NH-02,(Aminomethyl)cyclopropane,71.12,64.4,NCC1CC1,0.2,1.05,0.21,500,1811.023622,420,735,108.555972,131.5,91.875,SA00714429,FB00970784
24_rack1,A3,PHIP-SO2NH-03,2?2?2-Trifluoroethylamine,99.06,53.3,,0.2,1.05,0.21,500,1076.115486,420,735,90.900684,128.5,91.875,SA00714429,FB00970829
24_rack1,A4,PHIP-SO2NH-04,2-Thiophenemethylamine,113.18,87.4,,0.2,1.05,0.21,500,1544.442481,420,735,101.4790411,138.8,91.875,SA00714429,FB00970799
24_rack1,A5,PHIP-SO2NH-05,N-methyl-N-[(5-methyl-2-furyl)methyl]amine,125.17,102.2,,0.2,1.05,0.21,500,1632.979148,420,735,107.396436,127.2,91.875,SA00714429,FB00970823
24_rack1,A6,PHIP-SO2NH-06,3-Amino-5-methylisoxazole,98.1,80.5,,0.2,1.05,0.21,500,1641.182467,420,735,111.15258,146,91.875,SA00714429,FB00970703
24_rack1,B1,PHIP-SO2NH-07,Tetrahydrofurfurylamine,101.15,84.7,,0.2,1.05,0.21,500,1674.740484,420,735,100.308096,123.9,91.875,SA00714429,FB00970909
24_rack1,B2,PHIP-SO2NH-08,Ethanolamine,61.08,56.3,,0.2,1.05,0.21,500,1843.483955,420,735,120.55764,130.8,91.875,SA00714429,FB00970210
24_rack1,B3,PHIP-SO2NH-09,3-Picolylamine,108.14,102.6,,0.2,1.05,0.21,500,1897.540226,420,735,93.23116508,120.9,91.875,SA00714429,FB00970840
24_rack1,B4,PHIP-SO2NH-10,Propargylamine,55.08,48.3,,0.2,1.05,0.21,500,1753.812636,420,735,82.652808,106.1,91.875,SA00714429,FB00970825
24_rack1,B5,PHIP-SO2NH-11,Cyclopentylamine,85.09,68.3,,0.2,1.05,0.21,500,1605.359032,420,735,108.555972,131.2,91.875,SA00714429,FB00970918
24_rack1,B6,PHIP-SO2NH-12,Cyclopropylamine,57.09,46.4,,0.2,1.05,0.21,500,1625.503591,420,735,108.555972,131.5,91.875,SA00714429,FB00970414
24_rack1,C1,PHIP-SO2NH-13,Thiomorpholine,103.19,72.6,,0.2,1.05,0.21,500,1407.113092,420,735,90.900684,128.5,91.875,SA00714429,FB00970736
24_rack1,C2,PHIP-SO2NH-14,2-Aminooxazole,84.08,62.5,,0.2,1.05,0.21,500,1486.679353,420,735,101.4790411,138.8,91.875,SA00714429,FB00970689
24_rack1,C3,PHIP-SO2NH-15,2-Aminopyrimidine,95.1,69.7,,0.2,1.05,0.21,500,1465.825447,420,735,107.396436,127.2,91.875,SA00714429,FB00970417
24_rack1,C4,PHIP-SO2NH-16,2?4-Difluoroaniline,129.11,120.8,,0.2,1.05,0.21,500,1871.272558,420,735,111.15258,146,91.875,SA00714429,FB00970406
24_rack1,C5,PHIP-SO2NH-17,Isopentylamine,87.16,74.1,,0.2,1.05,0.21,500,1700.321248,420,735,100.308096,123.9,91.875,SA00714429,FB00970806
24_rack1,C6,PHIP-SO2NH-18,Benzylamine,107.15,80.5,,0.2,1.05,0.21,500,1502.566496,420,735,120.55764,130.8,91.875,SA00714429,FB00970286
24_rack1,D1,PHIP-SO2NH-19,1-(Methylsulfonyl)piperazine,164.22,135.1,,0.2,1.05,0.21,500,1645.353794,420,735,93.23116508,120.9,91.875,SA00714429,FB00970682
24_rack1,D2,PHIP-SO2NH-20,N?N?N?-Trimethylethylenediamine,102.18,75.7,,0.2,1.05,0.21,500,1481.698963,420,735,82.652808,106.1,91.875,SA00714429,FB00970403
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
