Location,CPD ID,IUPAC ,Formula,MW,weight,volume at 1500mM in ml,Number of vials filled up with 2mL,Volume to dispense in ul for stock solution,OldVol,Conc_stock (mMol),OldCOnc,Volume to dispense,Volume max per vial,Number reaction,n (mmol),Volume_stock per reaction,mmol,eq,freebase 2 eq,DIPEA MW,DIPEA d,Volume DIPEA,total volume
A1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1900,20,0.2,133,,,,,,,
B1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1900,20,0.2,133,,,,,,,
C1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1835,20,0.2,133,,,,,,,
D1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1813.333333,20,0.2,133,,,,,,,
E1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1780.833333,20,0.2,133,,,,,,,
F1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1748.333333,20,0.2,133,,,,,,,
G1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1715.833333,20,0.2,133,,,,,,,
H1,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1683.333333,20,0.2,133,,,,,,,
A2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1650.833333,20,0.2,133,,,,,,,
B2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1618.333333,20,0.2,133,,,,,,,
C2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1585.833333,20,0.2,133,,,,,,,
D2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1553.333333,20,0.2,133,,,,,,,
E2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1520.833333,20,0.2,133,,,,,,,
F2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1488.333333,20,0.2,133,,,,,,,
G2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1455.833333,20,0.2,133,,,,,,,
H2,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1423.333333,20,0.2,133,,,,,,,
A3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1390.833333,20,0.2,133,,,,,,,
B3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1358.333333,20,0.2,133,,,,,,,
C3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1325.833333,20,0.2,133,,,,,,,
D3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1293.333333,20,0.2,133,,,,,,,
E3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,1935.951088,1260.833333,20,0.2,133,,,,,,,
F3,stock reagent 2,methyl 5-(chlorosulfonyl)furan-2-carboxylate,C6H5ClO5S,224.62,2000,5.935951088,2.967975544,5935.951088,,1500,,2000,1228.333333,20,0.2,133,,,,,,,
