Rack ID,Location,Name,IUPAC,MW,Mass weighed in,Smiles,Reaction Scale (mmol),Eq,mmol,Conc Stock,Volume to dispense (exp) at 0.5M,volume_per_vial,Barcode rack,Barcode vial
24_rack1,A1,PHIP-UreaNH-01,2-Methoxyethylamine,75.11,69.9,NCCOC,0.2,1.1,0.22,500,1861.270137,440,SA00714428,FB00970776
24_rack1,A2,PHIP-UreaNH-02,(Aminomethyl)cyclopropane,71.12,67.3,NCC1CC1,0.2,1.1,0.22,500,1892.575928,440,SA00714428,FB00970791
24_rack1,A3,PHIP-UreaNH-03,2?2?2-Trifluoroethylamine,99.06,79.5,,0.2,1.1,0.22,500,1605.087826,440,SA00714428,FB00970826
24_rack1,A4,PHIP-UreaNH-04,2-Thiophenemethylamine,113.18,106.4,,0.2,1.1,0.22,500,1880.190846,440,SA00714428,FB00970819
24_rack1,A5,PHIP-UreaNH-05,N-methyl-N-[(5-methyl-2-furyl)methyl]amine,125.17,120.3,,0.2,1.1,0.22,500,1922.185827,440,SA00714428,FB00970418
24_rack1,A6,PHIP-UreaNH-06,3-Amino-5-methylisoxazole,98.1,95.5,,0.2,1.1,0.22,500,1946.992864,440,SA00714428,FB00970912
24_rack1,B1,PHIP-UreaNH-07,Tetrahydrofurfurylamine,101.15,99.8,,0.2,1.1,0.22,500,1973.30697,440,SA00714428,FB00970777
24_rack1,B2,PHIP-UreaNH-08,Allylamine,57.09,54.9,,0.2,1.1,0.22,500,1923.279033,440,SA00714428,FB00970434
24_rack1,B3,PHIP-UreaNH-09,Ethanolamine,61.08,58.2,,0.2,1.1,0.22,500,1905.697446,440,SA00714428,FB00970277
24_rack1,B4,PHIP-UreaNH-10,3-Picolylamine,108.14,103.2,,0.2,1.1,0.22,500,1908.636952,440,SA00714428,FB00970896
